iter	Passed	Remaining
0	144	144832
1	147	73844
2	152	50525
3	154	38369
4	155	31034
5	157	26061
6	159	22582
7	160	19926
8	162	17840
9	163	16189
10	165	14837
11	166	13712
12	167	12754
13	169	11953
14	171	11261
15	173	10660
16	174	10114
17	176	9636
18	178	9204
19	179	8809
20	181	8449
21	183	8137
22	184	7836
23	185	7563
24	187	7310
25	189	7082
26	191	6895
27	193	6700
28	194	6519
29	196	6340
30	197	6182
31	199	6025
32	200	5883
33	203	5782
34	205	5660
35	207	5543
36	208	5436
37	210	5335
38	213	5262
39	215	5166
40	217	5079
41	221	5061
42	223	4983
43	225	4905
44	227	4827
45	229	4765
46	231	4699
47	233	4632
48	235	4571
49	237	4511
50	239	4452
51	240	4392
52	243	4349
53	245	4294
54	247	4245
55	253	4271
56	255	4231
57	257	4189
58	261	4169
59	264	4140
60	266	4096
61	267	4053
62	269	4010
63	273	4007
64	277	3988
65	279	3950
66	280	3911
67	281	3861
68	283	3822
69	285	3787
70	286	3750
71	288	3715
72	289	3681
73	291	3649
74	293	3617
75	295	3590
76	296	3557
77	298	3527
78	300	3498
79	301	3469
80	303	3444
81	305	3419
82	307	3391
83	309	3376
84	311	3348
85	313	3333
86	314	3304
87	317	3289
88	319	3272
89	321	3253
90	323	3230
91	325	3207
92	326	3185
93	328	3162
94	330	3144
95	332	3134
96	335	3123
97	337	3103
98	338	3082
99	344	3098
100	345	3079
101	346	3050
102	348	3032
103	349	3011
104	351	2994
105	352	2974
106	353	2954
107	355	2934
108	356	2915
109	358	2896
110	359	2878
111	360	2861
112	363	2851
113	365	2836
114	366	2821
115	367	2802
116	369	2786
117	370	2769
118	371	2751
119	372	2735
120	374	2720
121	375	2705
122	376	2684
123	377	2669
124	379	2655
125	381	2643
126	382	2630
127	383	2612
128	385	2599
129	386	2587
130	388	2577
131	390	2565
132	391	2554
133	393	2543
134	395	2531
135	396	2518
136	397	2506
137	398	2491
138	400	2479
139	401	2468
140	403	2457
141	404	2445
142	406	2433
143	407	2423
144	409	2412
145	410	2401
146	411	2390
147	413	2379
148	414	2368
149	415	2357
150	417	2346
151	418	2335
152	420	2325
153	421	2315
154	422	2304
155	424	2294
156	425	2285
157	426	2275
158	428	2264
159	429	2253
160	430	2245
161	432	2235
162	433	2227
163	435	2218
164	436	2210
165	438	2203
166	439	2194
167	441	2186
168	442	2177
169	444	2168
170	445	2159
171	446	2151
172	448	2142
173	449	2133
174	450	2125
175	452	2116
176	453	2108
177	454	2100
178	456	2092
179	457	2083
180	458	2072
181	459	2064
182	460	2056
183	461	2047
184	462	2039
185	464	2031
186	465	2024
187	466	2016
188	468	2009
189	469	2001
190	470	1994
191	471	1986
192	473	1978
193	474	1971
194	475	1963
195	476	1956
196	478	1948
197	479	1941
198	480	1934
199	481	1927
200	483	1920
201	484	1914
202	485	1907
203	487	1900
204	488	1893
205	489	1886
206	490	1879
207	491	1872
208	493	1866
209	494	1859
210	495	1853
211	496	1846
212	498	1840
213	499	1834
214	500	1828
215	502	1822
216	503	1817
217	504	1811
218	506	1805
219	507	1799
220	508	1792
221	509	1786
222	511	1780
223	512	1775
224	513	1769
225	515	1763
226	516	1758
